"site","mussel_length"
"a",3.98537831455014
"a",16.9520721901108
"a",15.8805279708277
"a",13.1746899727155
"a",12.985724186712
"a",25.4872720094356
"a",18.1366642513943
"a",19.1029457271905
"a",24.2469993627156
"a",25.5266553325321
"b",16.6689733115365
"b",21.9311720804956
"b",23.2506826018564
"b",24.6115558616817
"b",16.9127441074201
"b",11.9442907232357
"b",20.8747026686366
"b",17.0758323892159
"b",20.0681110624521
"b",1.92944000428578
"c",20.9411721974884
"c",22.1786044889198
"c",18.7025378343977
"c",18.9447797607982
"c",24.8026458321473
"c",16.0400124129937
"c",33.6970627341651
"c",17.6672532637877
"c",25.1858286973154
"c",16.6613603441661
"d",17.3489054295804
"d",20.6035327012874
"d",25.9503906976645
"d",26.8505574766753
"d",30.9530176828356
"d",27.7263740546185
"d",22.2130611020391
"d",23.6132177585761
"d",16.7233700634382
"d",9.86699969131335
"e",18.1083998228166
"e",23.6758261691808
"e",14.6985192239318
"e",20.3004598197178
"e",20.2092399102724
"e",38.9083849842238
"e",30.0704478157481
"e",12.4668310923797
"e",25.3846971002654
"e",12.9916017475227
"f",29.1905920759099
"f",35.1026311086549
"f",23.3895389568992
"f",16.0596710390648
"f",8.96141886346388
"f",15.8108371347827
"f",15.5780190480651
"f",17.7414240281049
"f",24.6690142517576
"f",8.08861390774518
"g",25.4850171255095
"g",25.4503411180643
"g",20.9421887125848
"g",26.5614055154009
"g",20.7468348849859
"g",24.1292283076007
"g",27.3354225844477
"g",19.9379778977385
"g",27.7084546706526
"g",25.1459621955134
"h",23.323337672338
"h",35.4907384799509
"h",30.7635141694227
"h",16.5309842442363
"h",3.27569962059225
"h",28.2576677758697
"h",14.5357800712955
"h",23.1718270895052
"h",33.8714120199767
"h",31.0797484320719
"i",32.9076142095807
"i",37.5624902139543
"i",15.4843731023774
"i",20.3789390874014
"i",27.2608941476596
"i",17.2012915760247
"i",32.5989057168325
"i",27.7095586201061
"i",22.4795491846978
"i",17.8129381601897
"j",27.5505467466134
"j",21.8452029228686
"j",23.4435113263209
"j",37.2504618634184
"j",28.9686002511694
"j",16.5310154349036
"j",33.8478484777128
"j",23.7512071327232
"j",14.0604214962429
"j",34.4626948133385
"k",36.632398605261
"k",27.6167333503171
"k",15.9891988944538
"k",37.1513422437481
"k",29.9287572720123
"k",37.018547128397
"k",44.9399636773587
"k",32.4428335145473
"k",22.9440534924584
"k",25.1454635112736
"l",18.385338611033
"l",31.7881193234066
"l",32.2462685908512
"l",25.5645135856237
"l",29.3693855264676
"l",29.1153156903995
"l",27.4528509315613
"l",36.3390009287743
"l",20.0609366929715
"l",25.3673839763786
"m",23.9834063473632
"m",19.771774640534
"m",35.0283506464125
"m",26.5417559112573
"m",21.6330776240375
"m",28.3108796156747
"m",24.3774394667732
"m",23.896402998571
"m",21.6237172595006
"m",26.970389212316
"n",30.1013571220553
"n",42.2150036543071
"n",27.1120472980127
"n",28.597660663218
"n",25.8132075883001
"n",21.3200126519481
"n",37.3888466360864
"n",37.0333310974447
"n",24.3776099254581
"n",18.4815481814415
"o",30.1381337623604
"o",19.9714799564621
"o",13.6526650085356
"o",19.2353825104879
"o",27.9437162350805
"o",40.4003300901372
"o",38.6303828434412
"o",30.0689561016822
"o",31.8503351973253
"o",18.1383922130123
